annee,mois,Région,Classe d'âge,Taux de passages aux urgences pour grippe,Taux d'hospitalisations après passages aux urgences pour grippe,Taux d'actes médicaux SOS médecins pour grippe
2019,12,Pays de la Loire,Tous âges,526.62375658,448.65403789,3625.2091467
2019,12,Provence-Alpes-Côte d'Azur,00-04 ans,2392.9895517,2439.0243902,3357.3141487
2019,12,Provence-Alpes-Côte d'Azur,05-14 ans,1479.1336503,1935.483871,4606.2407132
2019,12,Provence-Alpes-Côte d'Azur,15-64 ans,740.93911801,381.67938931,6372.7067911
2019,12,Provence-Alpes-Côte d'Azur,65 ans ou plus,339.68673335,488.00325336,2236.9511185
2019,12,Provence-Alpes-Côte d'Azur,Tous âges,936.28575441,643.5540793,4907.4545763
2019,12,Réunion,00-04 ans,0.0,0.0,
2019,12,Réunion,05-14 ans,0.0,0.0,
2019,12,Réunion,15-64 ans,146.52014652,0.0,
2019,12,Réunion,65 ans ou plus,0.0,0.0,
2019,12,Réunion,Tous âges,92.635479389,0.0,
2019,12,Île-de-France,00-04 ans,4215.6074014,2463.0541872,5701.509223
2019,12,Île-de-France,05-14 ans,3495.8871915,411.52263374,6651.0172144
2019,12,Île-de-France,15-64 ans,2172.465457,728.59744991,8600.1957768
2019,12,Île-de-France,65 ans ou plus,685.95287802,861.00861009,3158.6021505
2019,12,Île-de-France,Tous âges,2351.687565,965.91944596,7299.9492472
2020,1,Auvergne et Rhône-Alpes,00-04 ans,3377.196246275,2996.73612425,7544.153184225
2020,1,Auvergne et Rhône-Alpes,05-14 ans,2378.839275855,950.22955105,13434.994974425
2020,1,Auvergne et Rhône-Alpes,15-64 ans,1091.3642071049999,556.1330376075,10427.69317675
2020,1,Auvergne et Rhône-Alpes,65 ans ou plus,390.7231899775,441.257246435,2440.83527085
2020,1,Auvergne et Rhône-Alpes,Tous âges,1420.6104351,732.745138345,9344.966538475
2020,1,Bourgogne et Franche-Comté,00-04 ans,1811.5134612299998,2113.905172785,7940.648671875
2020,1,Bourgogne et Franche-Comté,05-14 ans,1909.3837005225,1119.6825082325,15618.858221825001
2020,1,Bourgogne et Franche-Comté,15-64 ans,811.75932463,449.33662181725,10565.151559625
2020,1,Bourgogne et Franche-Comté,65 ans ou plus,287.776318715,402.5962530275,3327.22181475
2020,1,Bourgogne et Franche-Comté,Tous âges,915.5897328450001,533.0196504825001,10101.01647045
2020,1,Bretagne,00-04 ans,2231.403038,2119.83219783,6272.3034007999995
2020,1,Bretagne,05-14 ans,1467.0902545975,2307.23798249,10708.184132625
2020,1,Bretagne,15-64 ans,478.6527560625,578.800946315,8002.142041474999
2020,1,Bretagne,65 ans ou plus,376.2816147625,314.89288405499997,1542.180944175
2020,1,Bretagne,Tous âges,775.4304262575,610.2197135975,7167.6337035999995
2020,1,Centre-Val de Loire,00-04 ans,1881.3093486450002,2091.3584653875,2794.1226932500003
2020,1,Centre-Val de Loire,05-14 ans,1698.4245757449999,613.038277525,5687.913636449999
2020,1,Centre-Val de Loire,15-64 ans,949.502074345,347.2239108425,5960.179906275
2020,1,Centre-Val de Loire,65 ans ou plus,220.52562685,277.751837605,1330.8902999675001
2020,1,Centre-Val de Loire,Tous âges,980.297798475,443.67144571250003,5028.018777175
2020,1,Corse,00-04 ans,3796.69331475,5964.9122806,37089.64683525
2020,1,Corse,05-14 ans,2292.535051175,5729.16666675,28187.979312
2020,1,Corse,15-64 ans,1235.2627089100001,532.22708169,25717.6840405
2020,1,Corse,65 ans ou plus,897.98544529,1365.7376525250002,15855.186929575
2020,1,Corse,Tous âges,1505.2799323,1400.94914745,27167.83845425
2020,1,Grand Est,00-04 ans,2515.6679714,1878.11089055,5938.917334899999
2020,1,Grand Est,05-14 ans,1826.21185265,1033.00154045,10263.8841354
2020,1,Grand Est,15-64 ans,1047.1806925575,845.9549083125,10105.597571775
2020,1,Grand Est,65 ans ou plus,421.0394806775,572.1433159750001,2630.002900375
2020,1,Grand Est,Tous âges,1198.4977375624999,803.0963275449999,8322.5144379
2020,1,Guadeloupe,00-04 ans,886.57647654,0.0,
2020,1,Guadeloupe,05-14 ans,701.650129545,0.0,
2020,1,Guadeloupe,15-64 ans,214.76245761500002,190.8396946575,
2020,1,Guadeloupe,65 ans ou plus,333.8715805475,185.185185185,
2020,1,Guadeloupe,Tous âges,395.24777357,154.9472795475,
2020,1,Guyane,00-04 ans,1638.207348575,0.0,
2020,1,Guyane,05-14 ans,1271.1029375399999,1086.95652175,
2020,1,Guyane,15-64 ans,925.783133135,0.0,
2020,1,Guyane,65 ans ou plus,394.44716242749996,0.0,
2020,1,Guyane,Tous âges,1092.7779427649998,143.67816092,
2020,1,Hauts-de-France,00-04 ans,3138.622226675,2121.95046325,4575.669226475
2020,1,Hauts-de-France,05-14 ans,1939.4834364600001,757.6240056525,7761.2431654249995
2020,1,Hauts-de-France,15-64 ans,724.2904843975,280.469283895,7504.725499725
2020,1,Hauts-de-France,65 ans ou plus,328.488071665,374.57253684,2462.45729035
2020,1,Hauts-de-France,Tous âges,1167.0543816675,506.92566403499995,6616.391057700001
2020,1,Martinique,00-04 ans,,,707.5471698
2020,1,Martinique,05-14 ans,,,4291.323260075
2020,1,Martinique,15-64 ans,,,5084.538102
2020,1,Martinique,65 ans ou plus,,,2092.33738065
2020,1,Martinique,Tous âges,,,3781.0067093000002
2020,1,Mayotte,00-04 ans,88.96797153,0.0,
2020,1,Mayotte,05-14 ans,152.43902439,0.0,
2020,1,Mayotte,15-64 ans,1056.9367423525,0.0,
2020,1,Mayotte,65 ans ou plus,0.0,0.0,
2020,1,Mayotte,Tous âges,603.1619375375,0.0,
2020,1,Normandie,00-04 ans,2135.1379613999998,818.327100185,4104.54054855
2020,1,Normandie,05-14 ans,1464.3586205225,227.2727272725,7587.034793325
2020,1,Normandie,15-64 ans,732.625088125,327.2817966385,6310.512373175
2020,1,Normandie,65 ans ou plus,270.49152083,285.1054548735,1251.9106794724999
2020,1,Normandie,Tous âges,906.253062895,334.8954384,5624.920116650001
2020,1,Nouvelle Aquitaine,00-04 ans,2876.035455225,1637.265986395,7592.268843649999
2020,1,Nouvelle Aquitaine,05-14 ans,2042.58544877,1654.810548655,15021.4044579
2020,1,Nouvelle Aquitaine,15-64 ans,640.591814175,388.96020635,10367.29761525
2020,1,Nouvelle Aquitaine,65 ans ou plus,220.975192575,280.800095675,1841.89473445
2020,1,Nouvelle Aquitaine,Tous âges,909.4503959975,454.89431090749997,9820.551143175
2020,1,Occitanie,00-04 ans,3255.060456125,2399.2373669500003,5820.6285955
2020,1,Occitanie,05-14 ans,2058.15282205,739.5678092475,9757.442691925
2020,1,Occitanie,15-64 ans,630.5343912675,203.150904399,8833.70084315
2020,1,Occitanie,65 ans ou plus,139.2889538045,159.89862890675,2837.1988923749996
2020,1,Occitanie,Tous âges,972.0357097525,361.85801581,7660.39096225
2020,1,Pays de la Loire,00-04 ans,2823.148695325,1632.1691210725003,5542.034106375
2020,1,Pays de la Loire,05-14 ans,1864.7349289200001,826.61850513,10307.35629605
2020,1,Pays de la Loire,15-64 ans,795.19955764,546.7241974149999,7519.4737543
2020,1,Pays de la Loire,65 ans ou plus,410.54139845,569.9775360125,733.834108065
2020,1,Pays de la Loire,Tous âges,1079.53559227,644.310282285,6506.497472825
2020,1,Provence-Alpes-Côte d'Azur,00-04 ans,6523.5774145,6615.665640875,10966.4340229
2020,1,Provence-Alpes-Côte d'Azur,05-14 ans,4977.993814425,4095.00299765,18240.736957725
2020,1,Provence-Alpes-Côte d'Azur,15-64 ans,1366.0299956575,1038.6968986524998,15704.5667623
2020,1,Provence-Alpes-Côte d'Azur,65 ans ou plus,637.1764977225,877.1435448425,4121.78438885
2020,1,Provence-Alpes-Côte d'Azur,Tous âges,2400.23016647,1535.63883356,13718.127517775
2020,1,Réunion,00-04 ans,737.222292645,1044.251447475,
2020,1,Réunion,05-14 ans,549.76751784,1309.5238095250002,
2020,1,Réunion,15-64 ans,203.274404107,57.603686635,
2020,1,Réunion,65 ans ou plus,0.0,0.0,
2020,1,Réunion,Tous âges,267.204581515,188.4133398725,
2020,1,Île-de-France,00-04 ans,7596.3273496500005,3863.9406226,12020.7050103
2020,1,Île-de-France,05-14 ans,5176.954062875,1604.8561820749999,18028.300452625
2020,1,Île-de-France,15-64 ans,2526.6789841,1353.8832470500001,16318.15409475
2020,1,Île-de-France,65 ans ou plus,801.6164842874999,985.65015333,3758.54135495
2020,1,Île-de-France,Tous âges,3387.621567475,1472.3105982425,14596.85215105
2020,2,Auvergne et Rhône-Alpes,00-04 ans,9038.442639525,5806.6779391,17641.1625375
2020,2,Auvergne et Rhône-Alpes,05-14 ans,5610.640820600001,3041.829994875,28737.274009250003
2020,2,Auvergne et Rhône-Alpes,15-64 ans,2112.94911955,1075.91302184,18940.0116055
2020,2,Auvergne et Rhône-Alpes,65 ans ou plus,1082.5232486175,1384.5646191,4431.68512185
2020,2,Auvergne et Rhône-Alpes,Tous âges,3289.1713137750003,1704.86555585,18545.5879785
2020,2,Bourgogne et Franche-Comté,00-04 ans,5585.92205355,4613.926222125,15103.210063999999
2020,2,Bourgogne et Franche-Comté,05-14 ans,4335.94942655,2311.820674075,23710.212531750003
2020,2,Bourgogne et Franche-Comté,15-64 ans,1773.664621025,967.2628420225001,16499.80578925
2020,2,Bourgogne et Franche-Comté,65 ans ou plus,672.4826601775,767.7873729125,5053.894414525
2020,2,Bourgogne et Franche-Comté,Tous âges,2216.7849357249997,1094.72835424,16197.8677225
2020,2,Bretagne,00-04 ans,5685.15326285,6314.8227431000005,10479.620829325
2020,2,Bretagne,05-14 ans,2805.555408075,2299.346667625,18662.241724975
2020,2,Bretagne,15-64 ans,1040.19046882,1114.83343264,14926.482609749999
2020,2,Bretagne,65 ans ou plus,772.1523865775,1188.68406261,3154.1722944
2020,2,Bretagne,Tous âges,1718.4251032,1539.778381275,13134.38295605
2020,2,Centre-Val de Loire,00-04 ans,5438.0713243,3163.6701081,5146.067996674999
2020,2,Centre-Val de Loire,05-14 ans,3550.04394795,1834.359783325,10054.790754374999
2020,2,Centre-Val de Loire,15-64 ans,1494.0603836,1174.6315481625,9772.132557674999
2020,2,Centre-Val de Loire,65 ans ou plus,464.990622105,561.8800536425,2546.548401675
2020,2,Centre-Val de Loire,Tous âges,1913.908465975,1000.2462419374999,8417.312323525
2020,2,Corse,00-04 ans,2873.962970225,6274.509803825,15351.721847499999
2020,2,Corse,05-14 ans,2440.316351115,1250.0,18800.8279427
2020,2,Corse,15-64 ans,1568.979550825,1062.4651422299999,11846.399296075
2020,2,Corse,65 ans ou plus,1005.3506607825,1605.8759457,6919.64285725
2020,2,Corse,Tous âges,1671.836234025,1537.6707752500001,12941.1306594
2020,2,Grand Est,00-04 ans,5164.247615825,3683.0189293000003,10554.679391900001
2020,2,Grand Est,05-14 ans,4282.5507502,2382.112440325,17127.746381999998
2020,2,Grand Est,15-64 ans,1590.50768055,1158.705947675,14698.955851499999
2020,2,Grand Est,65 ans ou plus,1030.49986206,1383.0470558749998,3172.116071325
2020,2,Grand Est,Tous âges,2277.11587515,1543.098533575,12860.74569775
2020,2,Guadeloupe,00-04 ans,2120.4653404749997,0.0,
2020,2,Guadeloupe,05-14 ans,2074.625290625,0.0,
2020,2,Guadeloupe,15-64 ans,493.10715739249997,0.0,
2020,2,Guadeloupe,65 ans ou plus,330.5913829575,190.8396946575,
2020,2,Guadeloupe,Tous âges,894.3455933225,87.719298245,
2020,2,Guyane,00-04 ans,2234.44533,714.285714275,
2020,2,Guyane,05-14 ans,3053.255160825,0.0,
2020,2,Guyane,15-64 ans,2788.42474115,1900.5847953,
2020,2,Guyane,65 ans ou plus,1223.348059925,1973.684210525,
2020,2,Guyane,Tous âges,2605.073588575,1581.0256642075,
2020,2,Hauts-de-France,00-04 ans,5568.4618374,3625.069353325,7271.232214725
2020,2,Hauts-de-France,05-14 ans,3557.8821745249998,3271.79035661,12930.24792955
2020,2,Hauts-de-France,15-64 ans,1079.988744475,893.5099379425001,10879.66915605
2020,2,Hauts-de-France,65 ans ou plus,567.200774685,637.7224521275,3113.45313475
2020,2,Hauts-de-France,Tous âges,1929.5878357,1091.928119065,9946.641034075
