Année,Région,Grippe moins de 65 ans à risque,Grippe 65 ans et plus,Grippe 65-74 ans,Grippe 75 ans et plus,Grippe résidents en Ehpad,Grippe professionnels en Ehpad
2022,Nouvelle Aquitaine,33.0,58.1,52.5,64.0,,
2022,Pays de la Loire,32.7,59.5,54.6,64.7,,
2022,Martinique,7.7,13.9,11.6,16.8,,
2023,Auvergne et Rhône-Alpes,25.8,53.3,45.4,61.4,,
2023,Bretagne,27.8,59.5,52.4,67.3,,
2023,Grand Est,26.5,53.5,46.7,61.5,,
2023,Occitanie,24.0,53.0,44.6,61.6,,
2023,Pays de la Loire,27.5,58.2,50.9,65.9,,
2023,Guadeloupe,6.9,14.9,11.9,18.7,,
2023,Martinique,7.5,14.9,8.7,14.3,,
2024,Bourgogne et Franche-Comté,25.5,52.3,45.2,59.2,,
2024,Centre-Val de Loire,27.6,56.2,49.6,62.5,,
2024,Nouvelle Aquitaine,26.4,55.6,48.6,62.5,,
2024,Provence-Alpes-Côte d'Azur,21.3,49.8,41.3,57.5,,
2024,Guadeloupe,7.2,15.1,12.5,18.2,,
2024,Réunion,,,,,,
2011,Auvergne et Rhône-Alpes,,,,,,
2011,Guadeloupe,,,,,,
2011,Martinique,,,,,,
2012,Bretagne,,,,,,
2012,Corse,,,,,,
2012,Grand Est,,,,,,
2012,Île-de-France,,,,,,
2012,Pays de la Loire,,,,,,
2012,Guadeloupe,,,,,,
2013,Bretagne,,,,,,
2013,Normandie,,,,,,
2013,Pays de la Loire,,,,,,
2013,Guadeloupe,,,,,,
2013,Guyane,,,,,,
2013,Martinique,,,,,,
2014,Auvergne et Rhône-Alpes,,,,,,
2014,Bretagne,,,,,,
2014,Corse,,,,,,
2014,Occitanie,,,,,,
2014,Pays de la Loire,,,,,,
2015,Auvergne et Rhône-Alpes,,,,,,
2015,Bourgogne et Franche-Comté,,,,,,
2015,Bretagne,,,,,,
2015,Corse,,,,,,
2015,Grand Est,,,,,,
2015,Occitanie,,,,,,
2015,Guadeloupe,,,,,,
2015,Guyane,,,,,,
2016,Bretagne,31.3,52.4,,,,
2016,Centre-Val de Loire,30.6,52.4,,,,
2016,Grand Est,31.7,52.2,,,,
2016,Hauts-de-France,34.8,53.4,,,,
2016,Normandie,33.4,53.8,,,,
2016,Réunion,,,,,,
2017,Auvergne et Rhône-Alpes,29.5,48.5,,,,
2017,Centre-Val de Loire,30.4,51.7,,,,
2017,Île-de-France,23.9,47.3,,,,
2017,Nouvelle Aquitaine,29.7,50.8,,,,
2017,Provence-Alpes-Côte d'Azur,25.4,47.5,,,,
2018,Auvergne et Rhône-Alpes,29.2,50.3,,,,
2018,Hauts-de-France,33.3,54.0,,,,
2018,Île-de-France,24.9,48.9,,,,
2018,Normandie,32.0,54.1,,,,
2018,Occitanie,28.0,50.3,,,,
2018,Guadeloupe,12.4,20.5,,,,
2018,Guyane,12.7,18.9,,,,
2019,Nouvelle Aquitaine,32.4,53.2,,,,
2019,Occitanie,29.9,51.5,,,,
2019,Guadeloupe,14.8,22.9,,,,
2020,Auvergne et Rhône-Alpes,40.1,59.4,,,,
2020,Bourgogne et Franche-Comté,41.2,60.4,,,,
2020,Normandie,44.1,63.8,,,,
2020,Occitanie,37.7,59.8,,,,
2020,Pays de la Loire,39.6,63.3,,,,
2020,Provence-Alpes-Côte d'Azur,34.3,56.4,,,,
2020,Martinique,12.2,18.8,,,,
2021,Auvergne et Rhône-Alpes,35.2,55.9,,,,
2021,Bourgogne et Franche-Comté,36.9,57.2,,,,
2021,Centre-Val de Loire,37.8,60.3,,,,
2021,Grand Est,37.1,57.0,,,,
2021,Île-de-France,29.7,55.0,,,,
2021,Nouvelle Aquitaine,36.1,58.7,,,,
2021,Provence-Alpes-Côte d'Azur,29.2,52.4,,,,
2022,Bretagne,32.8,61.6,56.3,67.5,,
2022,Centre-Val de Loire,34.9,59.5,54.5,64.7,,
